factor_name,display_name,family,family_label,params,direction,expression,description,PassGates,Score,IC,IR,Turnover,maxx,minn,max_mean,min_mean,positive_ic_ratio,submission_path,submission_dir,metadata_path,timestamp,sanity_report
manual_alpha_004,manual_alpha_004_zscore_body_fraction,zscore_body_fraction,Body Fraction Z-Score,{'window': 8},1,"rank(+1 * zscore((close-open)/(high-low+eps),8))",Follow the rolling 8-bar z-score of candle body fraction.,True,5.348179197410382,0.0140520300720565,45.88924245610388,12.314119338989258,4.356349468231201,0.0,4.052391529083252,0.0,0.9972451790633609,/Volumes/T7/Scientech/manual/submit/manual_alpha_004_20260410_170000_p1_y/manual_alpha_004_submission.pq,/Volumes/T7/Scientech/manual/submit/manual_alpha_004_20260410_170000_p1_y,/Volumes/T7/Scientech/manual/submit/manual_alpha_004_20260410_170000_p1_y/manual_alpha_004_metadata.json,20260410_170000_p1,"{'status': 'PASS', 'submission_ready': True, 'cover_all': 1, 'missing_days_count': 0, 'missing_days_sample': [], 'max': 1.0, 'min': 0.0, 'row_count': 57554880, 'unique_days': 726, 'duplicate_keys': 0, 'alpha_in_bounds': True, 'alpha_is_constant': False, 'allowed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'observed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'invalid_utc_times': [], 'exact_15m_grid': True, 'bars_per_day_min': 16, 'bars_per_day_max': 16, 'bars_per_day_expected': 16, 'full_intraday_grid': True}"
manual_alpha_005,manual_alpha_005_ema_spread,ema_spread,Short-Long EMA Spread,"{'short': 8, 'long': 32}",-1,"rank(-1 * (ema(close,8)/ema(close,32) - 1))",Fade the short/long EMA spread using 8 vs 32 bars.,True,4.993842966189443,0.0211577183130086,5.809488045940821,0.8777076005935669,4.356349945068359,0.0,3.990483522415161,0.0,0.6446280991735537,/Volumes/T7/Scientech/manual/submit/manual_alpha_005_20260410_170000_p1_y/manual_alpha_005_submission.pq,/Volumes/T7/Scientech/manual/submit/manual_alpha_005_20260410_170000_p1_y,/Volumes/T7/Scientech/manual/submit/manual_alpha_005_20260410_170000_p1_y/manual_alpha_005_metadata.json,20260410_170000_p1,"{'status': 'PASS', 'submission_ready': True, 'cover_all': 1, 'missing_days_count': 0, 'missing_days_sample': [], 'max': 1.0, 'min': 0.0, 'row_count': 57554880, 'unique_days': 726, 'duplicate_keys': 0, 'alpha_in_bounds': True, 'alpha_is_constant': False, 'allowed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'observed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'invalid_utc_times': [], 'exact_15m_grid': True, 'bars_per_day_min': 16, 'bars_per_day_max': 16, 'bars_per_day_expected': 16, 'full_intraday_grid': True}"
manual_alpha_006,manual_alpha_006_range_conditioned_location,range_conditioned_location,Range Location x Range Surprise,{'window': 16},1,"rank(+1 * range_loc * (range_pct/mean(range_pct,16)))",Follow close location in the bar when range expansion exceeds its 16-bar norm.,True,4.841764046240185,0.0152886635111316,24.337761662643413,10.94854736328125,4.356349468231201,0.0038424148224294,4.05239200592041,0.0632129833102226,0.9600550964187328,/Volumes/T7/Scientech/manual/submit/manual_alpha_006_20260410_170000_p1_y/manual_alpha_006_submission.pq,/Volumes/T7/Scientech/manual/submit/manual_alpha_006_20260410_170000_p1_y,/Volumes/T7/Scientech/manual/submit/manual_alpha_006_20260410_170000_p1_y/manual_alpha_006_metadata.json,20260410_170000_p1,"{'status': 'PASS', 'submission_ready': True, 'cover_all': 1, 'missing_days_count': 0, 'missing_days_sample': [], 'max': 1.0, 'min': 0.0, 'row_count': 57554880, 'unique_days': 726, 'duplicate_keys': 0, 'alpha_in_bounds': True, 'alpha_is_constant': False, 'allowed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'observed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'invalid_utc_times': [], 'exact_15m_grid': True, 'bars_per_day_min': 16, 'bars_per_day_max': 16, 'bars_per_day_expected': 16, 'full_intraday_grid': True}"
manual_alpha_007,manual_alpha_007_zscore_body_fraction,zscore_body_fraction,Body Fraction Z-Score,{'window': 16},1,"rank(+1 * zscore((close-open)/(high-low+eps),16))",Follow the rolling 16-bar z-score of candle body fraction.,True,4.703685268378066,0.0140011599401534,35.63377849112136,12.243005752563477,4.356349468231201,0.0,4.05239200592041,0.0,0.9862258953168044,/Volumes/T7/Scientech/manual/submit/manual_alpha_007_20260410_170000_p1_y/manual_alpha_007_submission.pq,/Volumes/T7/Scientech/manual/submit/manual_alpha_007_20260410_170000_p1_y,/Volumes/T7/Scientech/manual/submit/manual_alpha_007_20260410_170000_p1_y/manual_alpha_007_metadata.json,20260410_170000_p1,"{'status': 'PASS', 'submission_ready': True, 'cover_all': 1, 'missing_days_count': 0, 'missing_days_sample': [], 'max': 1.0, 'min': 0.0, 'row_count': 57554880, 'unique_days': 726, 'duplicate_keys': 0, 'alpha_in_bounds': True, 'alpha_is_constant': False, 'allowed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'observed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'invalid_utc_times': [], 'exact_15m_grid': True, 'bars_per_day_min': 16, 'bars_per_day_max': 16, 'bars_per_day_expected': 16, 'full_intraday_grid': True}"
manual_alpha_008,manual_alpha_008_ema_spread,ema_spread,Short-Long EMA Spread,"{'short': 4, 'long': 16}",-1,"rank(-1 * (ema(close,4)/ema(close,16) - 1))",Fade the short/long EMA spread using 4 vs 16 bars.,True,4.408511656585926,0.019054658098292,5.891727612432481,1.784731388092041,4.355400562286377,0.0,3.990214109420776,0.0,0.6735537190082644,/Volumes/T7/Scientech/manual/submit/manual_alpha_008_20260410_170000_p1_y/manual_alpha_008_submission.pq,/Volumes/T7/Scientech/manual/submit/manual_alpha_008_20260410_170000_p1_y,/Volumes/T7/Scientech/manual/submit/manual_alpha_008_20260410_170000_p1_y/manual_alpha_008_metadata.json,20260410_170000_p1,"{'status': 'PASS', 'submission_ready': True, 'cover_all': 1, 'missing_days_count': 0, 'missing_days_sample': [], 'max': 1.0, 'min': 0.0, 'row_count': 57554880, 'unique_days': 726, 'duplicate_keys': 0, 'alpha_in_bounds': True, 'alpha_is_constant': False, 'allowed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'observed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'invalid_utc_times': [], 'exact_15m_grid': True, 'bars_per_day_min': 16, 'bars_per_day_max': 16, 'bars_per_day_expected': 16, 'full_intraday_grid': True}"
manual_alpha_009,manual_alpha_009_open_close_return,open_close_return,Open-Close Return,{},1,rank(+1 * (close_trade_px/open_trade_px - 1)),Follow same-bar open-to-close move.,True,3.444572513489917,0.0134581218955017,20.51218757224919,11.705188751220703,4.355400562286377,0.0,4.050394058227539,0.0,0.9242424242424242,/Volumes/T7/Scientech/manual/submit/manual_alpha_009_20260410_170000_p1_y/manual_alpha_009_submission.pq,/Volumes/T7/Scientech/manual/submit/manual_alpha_009_20260410_170000_p1_y,/Volumes/T7/Scientech/manual/submit/manual_alpha_009_20260410_170000_p1_y/manual_alpha_009_metadata.json,20260410_170000_p1,"{'status': 'PASS', 'submission_ready': True, 'cover_all': 1, 'missing_days_count': 0, 'missing_days_sample': [], 'max': 1.0, 'min': 0.0, 'row_count': 57554880, 'unique_days': 726, 'duplicate_keys': 0, 'alpha_in_bounds': True, 'alpha_is_constant': False, 'allowed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'observed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'invalid_utc_times': [], 'exact_15m_grid': True, 'bars_per_day_min': 16, 'bars_per_day_max': 16, 'bars_per_day_expected': 16, 'full_intraday_grid': True}"
manual_alpha_010,manual_alpha_010_range_conditioned_body,range_conditioned_body,Body x Range Surprise,{'window': 16},1,"rank(+1 * body_frac * (range_pct/mean(range_pct,16)))",Follow candle body when the contemporaneous range is a 16-bar outlier.,True,3.081939946462158,0.012686646319425,20.760710532803948,11.845309257507324,4.356349468231201,0.0,4.05239200592041,0.0,0.9146005509641874,/Volumes/T7/Scientech/manual/submit/manual_alpha_010_20260410_170000_p1_y/manual_alpha_010_submission.pq,/Volumes/T7/Scientech/manual/submit/manual_alpha_010_20260410_170000_p1_y,/Volumes/T7/Scientech/manual/submit/manual_alpha_010_20260410_170000_p1_y/manual_alpha_010_metadata.json,20260410_170000_p1,"{'status': 'PASS', 'submission_ready': True, 'cover_all': 1, 'missing_days_count': 0, 'missing_days_sample': [], 'max': 1.0, 'min': 0.0, 'row_count': 57554880, 'unique_days': 726, 'duplicate_keys': 0, 'alpha_in_bounds': True, 'alpha_is_constant': False, 'allowed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'observed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'invalid_utc_times': [], 'exact_15m_grid': True, 'bars_per_day_min': 16, 'bars_per_day_max': 16, 'bars_per_day_expected': 16, 'full_intraday_grid': True}"
manual_alpha_011,manual_alpha_011_body_fraction,body_fraction,Body Fraction,{},1,rank(+1 * ((close-open)/(high-low+eps))),Follow strong candle bodies after scaling by current bar range.,True,2.837204090785992,0.0121234531323887,21.171093966870135,11.914468765258787,4.354926586151123,0.0,4.050323486328125,4.926003748551011e-05,0.9228650137741048,/Volumes/T7/Scientech/manual/submit/manual_alpha_011_20260410_170000_p1_y/manual_alpha_011_submission.pq,/Volumes/T7/Scientech/manual/submit/manual_alpha_011_20260410_170000_p1_y,/Volumes/T7/Scientech/manual/submit/manual_alpha_011_20260410_170000_p1_y/manual_alpha_011_metadata.json,20260410_170000_p1,"{'status': 'PASS', 'submission_ready': True, 'cover_all': 1, 'missing_days_count': 0, 'missing_days_sample': [], 'max': 1.0, 'min': 0.0, 'row_count': 57554880, 'unique_days': 726, 'duplicate_keys': 0, 'alpha_in_bounds': True, 'alpha_is_constant': False, 'allowed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'observed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'invalid_utc_times': [], 'exact_15m_grid': True, 'bars_per_day_min': 16, 'bars_per_day_max': 16, 'bars_per_day_expected': 16, 'full_intraday_grid': True}"
manual_alpha_012,manual_alpha_012_bar_return,bar_return,Close To Previous Close Return,{},1,"rank(+1 * (close_trade_px/delay(close_trade_px,1) - 1))",Follow the last-bar close-to-close return.,True,2.82583708534951,0.0125066838869654,19.15084116480588,12.09870147705078,4.356349468231201,0.0,4.052391529083252,0.0,0.9049586776859504,/Volumes/T7/Scientech/manual/submit/manual_alpha_012_20260410_170000_p1_y/manual_alpha_012_submission.pq,/Volumes/T7/Scientech/manual/submit/manual_alpha_012_20260410_170000_p1_y,/Volumes/T7/Scientech/manual/submit/manual_alpha_012_20260410_170000_p1_y/manual_alpha_012_metadata.json,20260410_170000_p1,"{'status': 'PASS', 'submission_ready': True, 'cover_all': 1, 'missing_days_count': 0, 'missing_days_sample': [], 'max': 1.0, 'min': 0.0, 'row_count': 57554880, 'unique_days': 726, 'duplicate_keys': 0, 'alpha_in_bounds': True, 'alpha_is_constant': False, 'allowed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'observed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'invalid_utc_times': [], 'exact_15m_grid': True, 'bars_per_day_min': 16, 'bars_per_day_max': 16, 'bars_per_day_expected': 16, 'full_intraday_grid': True}"
manual_alpha_013,manual_alpha_013_range_conditioned_body,range_conditioned_body,Body x Range Surprise,{'window': 8},1,"rank(+1 * body_frac * (range_pct/mean(range_pct,8)))",Follow candle body when the contemporaneous range is a 8-bar outlier.,True,2.8179618352307636,0.0122986683730426,19.58711684568741,11.862896919250488,4.356349468231201,0.0,4.05239200592041,0.0,0.9077134986225897,/Volumes/T7/Scientech/manual/submit/manual_alpha_013_20260410_170000_p1_y/manual_alpha_013_submission.pq,/Volumes/T7/Scientech/manual/submit/manual_alpha_013_20260410_170000_p1_y,/Volumes/T7/Scientech/manual/submit/manual_alpha_013_20260410_170000_p1_y/manual_alpha_013_metadata.json,20260410_170000_p1,"{'status': 'PASS', 'submission_ready': True, 'cover_all': 1, 'missing_days_count': 0, 'missing_days_sample': [], 'max': 1.0, 'min': 0.0, 'row_count': 57554880, 'unique_days': 726, 'duplicate_keys': 0, 'alpha_in_bounds': True, 'alpha_is_constant': False, 'allowed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'observed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'invalid_utc_times': [], 'exact_15m_grid': True, 'bars_per_day_min': 16, 'bars_per_day_max': 16, 'bars_per_day_expected': 16, 'full_intraday_grid': True}"
